movie_id,rank,title,year,rating,runtime,votes
tt11024272,324.,The Babysitter: Killer Queen,(2020),5.8,101 min,"48,836"
tt2837574,325.,The Old Man & the Gun,(2018),6.7,93 min,"48,824"
tt7060344,326.,Ratsasan,(2018),8.3,170 min,"48,771"
tt8236336,327.,The Report,(I) (2019),7.2,119 min,"48,480"
tt7772580,328.,The Perfection,(2018),6.2,90 min,"48,345"
tt7431594,329.,Race 3,(2018),1.9,160 min,"48,128"
tt6212478,330.,American Animals,(2018),7.0,116 min,"48,085"
tt5397194,331.,Anon,(I) (2018),6.1,100 min,"47,616"
tt1620680,332.,A Wrinkle in Time,(2018),4.3,109 min,"47,120"
tt5208252,333.,Operation Finale,(2018),6.6,122 min,"47,046"
tt8508734,334.,His House,(2020),6.5,93 min,"46,845"
tt5117670,335.,Peter Rabbit,(2018),6.6,95 min,"46,614"
tt5563334,336.,The Good Liar,(2019),6.7,109 min,"45,954"
tt10620868,337.,#Saraitda,(2020),6.3,98 min,"45,821"
tt2235695,338.,Rebecca,(I) (2020),6.0,123 min,"45,424"
tt6772802,339.,Hillbilly Elegy,(2020),6.7,116 min,"45,278"
tt3361792,340.,Tolkien,(2019),6.8,112 min,"45,100"
tt0805647,341.,The Witches,(2020),5.4,106 min,"44,913"
tt8522006,342.,Happiest Season,(2020),6.6,102 min,"44,847"
tt5774450,343.,Summer of 84,(2018),6.7,105 min,"44,704"
tt9354842,344.,To All the Boys: P.S. I Still Love You,(2020),6.0,101 min,"44,646"
tt7557108,345.,Saint Maud,(2019),6.7,84 min,"44,479"
tt6476140,346.,Serenity,(I) (2019),5.4,106 min,"43,971"
tt1620981,347.,The Addams Family,(2019),5.8,86 min,"43,950"
tt9619798,348.,The Wrong Missy,(2020),5.7,90 min,"43,934"
tt10039344,349.,Countdown,(III) (2019),5.4,90 min,"43,672"
tt5918982,350.,Possessor,(2020),6.5,103 min,"43,519"
tt6781982,351.,Night School,(2018),5.6,111 min,"43,448"
tt6803046,352.,The Vast of Night,(2019),6.7,91 min,"43,413"
tt6259380,353.,Code 8,(2019),6.1,98 min,"43,208"
tt7985648,354.,Tomiris,(2019),6.2,156 min,"42,912"
tt8206668,355.,Bad Education,(2019),7.1,108 min,"42,682"
tt7533152,356.,The Boy Who Harnessed the Wind,(2019),7.6,113 min,"42,612"
tt7212754,357.,Ludo,(2020),7.6,150 min,"42,453"
tt2395469,358.,Gully Boy,(2019),7.9,154 min,"42,405"
tt8201170,359.,The Perfect Date,(I) (2019),5.8,89 min,"42,163"
tt6182908,360.,Smallfoot,(2018),6.6,96 min,"42,062"
tt9683478,361.,The Half of It,(I) (2020),6.9,104 min,"42,024"
tt5797184,362.,Escape from Pretoria,(2020),6.8,106 min,"41,789"
tt6324278,363.,Abominable,(2019),7.0,97 min,"41,452"
tt5001754,364.,Braven,(2018),5.9,94 min,"41,425"
tt7008872,365.,Boy Erased,(2018),6.9,115 min,"41,339"
tt4537896,366.,White Boy Rick,(2018),6.5,111 min,"41,329"
tt4154916,367.,Replicas,(2018),5.4,107 min,"41,187"
tt10530176,368.,Kol,(2020),7.1,112 min,"40,919"
tt1833116,369.,The Informer,(2019),6.6,113 min,"40,778"
tt3120280,370.,Sierra Burgess Is a Loser,(2018),5.8,105 min,"40,678"
tt1563742,371.,Overboard,(2018),6.0,112 min,"40,575"
tt8151874,372.,Honey Boy,(2019),7.2,94 min,"40,061"
tt7339248,373.,The Art of Self-Defense,(2019),6.6,104 min,"40,044"
tt6107548,374.,Late Night,(2019),6.5,102 min,"40,031"
tt5294518,375.,Eli,(I) (2019),5.8,98 min,"39,869"
tt9900782,376.,Kaithi,(2019),8.5,145 min,"39,734"
tt5057140,377.,Hold the Dark,(2018),5.6,125 min,"39,598"
tt4827558,378.,High Life,(2018),5.8,113 min,"39,420"
tt3385524,379.,Stan & Ollie,(2018),7.2,98 min,"39,305"
tt5580266,380.,The Hate U Give,(2018),7.5,133 min,"39,202"
tt3833480,381.,The Outpost,(2019),6.8,123 min,"38,832"
tt5619332,382.,Life of the Party,(I) (2018),5.6,105 min,"38,738"
tt6938828,383.,At Eternity's Gate,(2018),6.9,111 min,"38,694"
tt9016974,384.,Synchronic,(2019),6.2,102 min,"38,637"
tt8781414,385.,Freaks,(2018),6.7,105 min,"38,581"
tt1255919,386.,Holmes & Watson,(2018),3.9,90 min,"38,564"
tt6697582,387.,Arif V 216,(2018),7.0,125 min,"38,330"
tt6195094,388.,Ghostland,(2018),6.4,91 min,"37,858"
tt1464763,389.,Mute,(II) (2018),5.4,126 min,"37,486"
tt12749596,390.,Host,(II) (2020),6.5,57 min,"37,452"
tt8983202,391.,Kabir Singh,(2019),7.0,173 min,"37,448"
tt4964788,392.,Todos lo saben,(2018),6.9,133 min,"37,395"
tt4669788,393.,On the Basis of Sex,(2018),7.1,120 min,"37,361"
tt8108202,394.,Stree,(2018),7.5,128 min,"37,303"
tt5690360,395.,Slender Man,(I) (2018),3.2,93 min,"37,249"
tt4761916,396.,Unfriended: Dark Web,(2018),6.0,92 min,"37,200"
tt8633462,397.,"Quo vadis, Aida?",(2020),8.0,101 min,"37,111"
tt2639336,398.,Greta,(2018),6.0,98 min,"37,029"
tt5198068,399.,WolfWalkers,(2020),8.0,103 min,"36,992"
tt3907584,400.,All the Bright Places,(2020),6.6,107 min,"36,845"
tt10003008,401.,The Rental,(2020),5.7,88 min,"36,790"
tt7725596,402.,Badhaai ho,(2018),7.9,124 min,"36,758"
tt7280898,403.,22 July,(2018),6.8,143 min,"36,604"
tt10362466,404.,After We Collided,(2020),5.0,105 min,"36,545"
tt4878482,405.,Dumplin',(2018),6.5,110 min,"36,513"
tt8850222,406.,Busanhaeng 2: Bando,(2020),5.5,116 min,"36,490"
tt7608028,407.,The Open House,(2018),3.3,94 min,"36,411"
tt6141246,408.,The Aeronauts,(2019),6.6,100 min,"36,370"
tt1478839,409.,The Art of Racing in the Rain,(2019),7.5,109 min,"36,305"
tt1072748,410.,Winchester,(2018),5.4,99 min,"36,188"
tt5867314,411.,The Empty Man,(2020),6.2,137 min,"36,167"
tt9784456,412.,The Kissing Booth 2,(2020),5.7,134 min,"36,009"
tt5523010,413.,The Nutcracker and the Four Realms,(2018),5.6,99 min,"35,974"
tt10324144,414.,Article 15,(2019),8.1,130 min,"35,940"
tt6865690,415.,The Professor,(I) (2018),6.7,90 min,"35,888"
tt3256226,416.,IO,(2019),4.8,96 min,"35,861"
tt9398640,417.,Between Two Ferns: The Movie,(2019),6.1,82 min,"35,841"
tt2076298,418.,Yip Man 4,(2019),7.0,107 min,"35,707"
tt9806192,419.,J'ai perdu mon corps,(2019),7.5,81 min,"35,697"
tt5935704,420.,Padmaavat,(2018),7.0,163 min,"35,692"
tt8108268,421.,The Tashkent Files,(2019),8.1,134 min,"35,658"
tt10521092,422.,De slag om de Schelde,(2020),7.1,124 min,"35,543"
tt8108274,423.,Tanhaji: The Unsung Warrior,(2020),7.5,135 min,"35,467"
tt10350626,424.,Gunjan Saxena: The Kargil Girl,(2020),5.5,112 min,"35,350"
tt7485048,425.,Super 30,(2019),7.9,154 min,"35,349"
tt4073790,426.,The Darkest Minds,(2018),5.7,104 min,"35,247"
tt8361028,427.,Cam,(2018),5.9,94 min,"35,201"
tt9606374,428.,On the Rocks,(2020),6.4,96 min,"35,181"
tt6802308,429.,The 15:17 to Paris,(2018),5.3,94 min,"35,132"
tt7605074,430.,Liu lang di qiu,(2019),5.9,125 min,"35,112"
tt4799066,431.,Midnight Sun,(2018),6.6,91 min,"34,871"
tt7019842,432.,96,(II) (2018),8.5,158 min,"34,843"
tt6535880,433.,Haunt,(I) (2019),6.3,92 min,"34,598"
tt6513656,434.,Escape Plan 2: Hades,(2018),3.9,96 min,"34,357"
tt4068576,435.,The Nightingale,(I) (2018),7.3,136 min,"34,282"
tt8722346,436.,Queen & Slim,(2019),7.1,132 min,"34,000"
tt4357394,437.,Tau,(2018),5.8,97 min,"33,837"
tt9340860,438.,Let Him Go,(2020),6.7,113 min,"33,722"
tt10612922,439.,One Night in Miami...,(2020),7.1,114 min,"33,711"
tt6095472,440.,The Angry Birds Movie 2,(2019),6.4,97 min,"33,689"
tt8242084,441.,My Spy,(2020),6.3,99 min,"33,586"
tt1285009,442.,The Strangers: Prey at Night,(2018),5.2,85 min,"33,584"
tt11057644,443.,The Christmas Chronicles: Part Two,(2020),6.0,112 min,"33,544"
tt7547410,444.,Dora and the Lost City of Gold,(2019),6.1,102 min,"33,514"
tt6285944,445.,The Banker,(2020),7.3,120 min,"33,462"
tt5501104,446.,Gräns,(2018),7.0,110 min,"33,359"
tt9086228,447.,Gretel & Hansel,(2020),5.5,87 min,"33,161"
tt7098658,448.,Raazi,(2018),7.7,138 min,"33,100"
tt4986098,449.,The Titan,(2018),4.8,97 min,"32,999"
tt7946422,450.,Prospect,(2018),6.3,100 min,"32,787"
tt6269368,451.,The Clovehitch Killer,(2018),6.5,109 min,"32,625"
tt3317234,452.,"Game Over, Man!",(2018),5.4,101 min,"32,600"
tt9477520,453.,Asuran,(2019),8.4,141 min,"32,424"
tt6987770,454.,Destination Wedding,(2018),6.0,87 min,"32,344"
tt9196192,455.,Mignonnes,(2020),3.6,96 min,"32,331"
tt7242142,456.,Blindspotting,(2018),7.4,95 min,"32,299"
tt6218358,457.,Calibre,(2018),6.8,101 min,"32,290"
tt7721800,458.,Bharat,(2019),4.7,150 min,"32,017"
tt4995776,459.,The Red Sea Diving Resort,(2019),6.6,129 min,"31,725"
tt3721964,460.,Gringo,(2018),6.1,111 min,"31,679"
tt6857166,461.,Book Club,(I) (2018),6.1,104 min,"31,582"
tt6436726,462.,7500,(2019),6.3,93 min,"31,557"
tt7137380,463.,Destroyer,(2018),6.2,121 min,"31,198"
tt5144174,464.,The Dry,(2020),6.8,117 min,"31,187"
tt7430722,465.,War,(2019),6.5,151 min,"30,970"
tt9354944,466.,Jexi,(2019),6.0,84 min,"30,823"
tt5929754,467.,Wildlife,(2018),6.8,105 min,"30,723"
tt7634968,468.,What Men Want,(2019),5.4,117 min,"30,660"
tt7961060,469.,Doragon bôru chô: Burorî,(2018),7.7,100 min,"30,578"
tt7772582,470.,Never Rarely Sometimes Always,(2020),7.4,101 min,"30,480"
tt8954732,471.,The Princess Switch,(2018),6.1,101 min,"30,197"
tt8130968,472.,Badla,(2019),7.8,118 min,"30,164"
